category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums|RoboticVacuums",RoboticVacuums,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing",Vacuums&FloorCare,Vacuums,RoboticVacuums,,190
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters|USBtoUSBAdapters,USBtoUSBAdapters,5,Computers&Accessories,Accessories&Peripherals,Adapters,USBtoUSBAdapters,,,,191
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots|StovetopEspressoPots",StovetopEspressoPots,5,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",StovetopEspressoPots,,,,192
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper|ColouredPaper,ColouredPaper,6,OfficeProducts,OfficePaperProducts,Paper,Copy&PrintingPaper,ColouredPaper,,,193
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers|StandMixers,StandMixers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,StandMixers,,,,194
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers|AVReceivers&Amplifiers",AVReceivers&Amplifiers,4,Electronics,"HomeTheater,TV&Video",AVReceivers&Amplifiers,,,,,195
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses|3DGlasses",3DGlasses,5,Electronics,"HomeTheater,TV&Video",Accessories,3DGlasses,,,,196
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters|BluetoothAdapters,BluetoothAdapters,5,Computers&Accessories,NetworkingDevices,NetworkAdapters,BluetoothAdapters,,,,197
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights|SelfieLights,SelfieLights,7,Electronics,Mobiles&Accessories,MobileAccessories,Photo&VideoAccessories,Flashes&SelfieLights,SelfieLights,,198
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables|SATACables,SATACables,6,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,SATACables,,,199
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers|YogurtMakers,YogurtMakers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,YogurtMakers,,,,200
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases|BasicCases,BasicCases,6,Electronics,Mobiles&Accessories,MobileAccessories,Cases&Covers,BasicCases,,,201
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients|StreamingClients,StreamingClients,5,Electronics,HomeAudio,MediaStreamingDevices,StreamingClients,,,,202
Electronics|HomeAudio|Speakers|TowerSpeakers|TowerSpeakers,TowerSpeakers,5,Electronics,HomeAudio,Speakers,TowerSpeakers,,,,203
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners|Split-SystemAirConditioners",Split-SystemAirConditioners,5,Home&Kitchen,"Heating,Cooling&AirQuality",AirConditioners,Split-SystemAirConditioners,,,,204
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners|PressureWashers,Steam&WindowCleaners","PressureWashers,Steam&WindowCleaners",5,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing","PressureWashers,Steam&WindowCleaners",,,,205
Computers&Accessories|Tablets|Tablets,Tablets,3,Computers&Accessories,Tablets,,,,,,206
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts|HandlebarMounts,HandlebarMounts,6,Electronics,Mobiles&Accessories,MobileAccessories,Mounts,HandlebarMounts,,,207
Computers&Accessories|Laptops|TraditionalLaptops|TraditionalLaptops,TraditionalLaptops,4,Computers&Accessories,Laptops,TraditionalLaptops,,,,,208
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders|ElectricGrinders",ElectricGrinders,6,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",CoffeeGrinders,ElectricGrinders,,,209
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms|PhoneCharms,PhoneCharms,6,Electronics,Mobiles&Accessories,MobileAccessories,Décor,PhoneCharms,,,210
Computers&Accessories|Components|InternalHardDrives|InternalHardDrives,InternalHardDrives,4,Computers&Accessories,Components,InternalHardDrives,,,,,211
